Company,NSE Symbol,Sector,Industry,Market Cap in crs.,CMP,PE,PB,EPS in rs,ROE (%age),ROCE (%age),OPM (%age),Debt/Equity,Revenue,Net Profit,Dividend Yield (%age),52W High,52W Low,1Y Return (%age)
Tata Steel,TATASTEEL,Metals,Iron & Steel,238123.0,190.75,21.0,2.35,8.65,11.7,12.5,16.0,0.9,232140.0,10886.0,2.08,224.0,153.0,15.19
JSW Steel,JSWSTEEL,Metals,Iron & Steel,301708.0,1233.75,33.2,2.99,91.26,10.1,10.9,17.0,0.99,185470.0,25508.0,0.58,1328.0,1008.0,17.93
Hindalco Industries Ltd.,HINDALCO,Metals,Aluminium,216711.0,961.5,12.4,1.61,11.56,13.5,13.7,13.0,0.73,274944.0,13391.0,0.52,1176.0,657.5,38.57
Vedanta Ltd.,VEDL,Metals,Diversified Metals,109706.0,280.2,6.29,2.2,17.13,38.2,16.1,31.0,0.66,78437.0,25096.0,15.5,795.0,268.5,-38.89
NMDC Ltd.,NMDC,Metals,Industrial Minerals,75539.0,85.95,10.1,2.24,2.31,27.6,23.4,23.0,0.19,32071.0,7450.0,3.8,97.49,67.0,24.53
Jindal Steel Ltd.,JINDALSTEL,Metals,Iron & Steel,107680.0,1057.1,26.8,2.12,10.24,8.22,9.7,18.0,0.44,53225.0,3361.0,0.19,1306.2,914.6,10.54
Steel Authority of India Ltd.,SAIL,Metals,Iron & Steel,70198.0,169.66,18.3,1.2,4.4,6.43,7.79,14.0,0.53,110811.0,3373.0,0.91,209.7,118.1,24.42
National Aluminium Co. Ltd.,NATIONALUM,Metals,Aluminium,63731.0,345.65,10.9,2.95,9.38,29.4,39.6,47.0,0.0,17843.0,5797.0,3.04,445.15,179.93,79.84
Hindustan Zinc Ltd.,HINDZINC,Metals,Zinc,227407.0,540.1,16.6,10.1,11.83,76.4,69.2,57.0,0.39,40658.0,13712.0,2.01,733.0,413.5,21.23
MOIL Ltd.,MOIL,Metals,Industrial Minerals,5746.0,282.3,21.5,2.11,4.55,12.6,10.0,31.0,0.0,1473.0,267.0,1.99,404.9,242.35,-27.75
Reliance Industries Ltd.,RELIANCE,Energy,Refineries & Marketing,1763966.0,1304.2,22.6,1.95,12.54,10.3,8.91,15.0,0.45,1055780.0,95754.0,0.46,1611.8,1253.2,-14.07
Oil & Natural Gas Corpn. Ltd.,ONGC,Energy,Oil Exploration & Production,300228.0,238.88,7.19,0.81,8.6,11.7,14.2,15.0,0.47,662247.0,49793.0,5.18,307.5,227.65,-2.03
Oil India Ltd.,OIL,Energy,Oil Exploration & Production,68643.0,421.0,10.3,1.18,12.91,12.3,11.6,35.0,0.65,33946.0,7551.0,2.73,531.0,484.6,-7.05
Bharat Petroleum Corporation Ltd.,BPCL,Energy,Refineries & Marketing,133583.0,308.35,5.17,1.34,12.96,28.8,25.7,8.0,0.54,455228.0,25843.0,5.62,391.65,266.6,-6.98
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Energy,Refineries & Marketing,84740.0,398.0,4.7,1.3,28.5,30.9,22.2,8.0,0.85,441771.0,18047.0,6.03,508.45,316.2,-8.83
GAIL (India) Ltd.,GAIL,Energy,Gas Transmission/Marketing,114505.0,174.01,15.2,1.3,2.26,8.71,10.0,4.0,0.28,141598.0,7582.0,4.23,195.45,134.36,-9.69
Petronet LNG Ltd.,PETRONET,Energy,LPG/CNG/PNG/LNG Supplier,41490.0,276.95,10.6,1.86,9.14,18.6,22.7,20.0,0.11,43495.0,3913.0,3.66,326.4,235.35,-7.96
Mahanagr Gas Ltd.,MGL,Energy,LPG/CNG/PNG/LNG Supplier,11201.0,1132.9,13.2,1.78,13.36,13.7,18.3,13.0,0.03,8240.0,847.0,2.62,1586.9,900.0,-24.87
Adani Total Gas Ltd.,ATGL,Energy,LPG/CNG/PNG/LNG Supplier,80033.0,727.65,126.0,16.6,1.42,14.1,15.1,19.0,0.47,5864.0,637.0,0.03,859.85,462.8,9.65
Indian Oil Corporation Ltd.,IOC,Energy,Refineries & Marketing,199321.0,141.17,4.73,0.91,29.81,20.1,18.8,10.0,0.6,784415.0,43677.0,4.96,188.96,130.22,-4.55
