Company,Working Capital,Retained Earnings,EBIT,Market cap,total Borrowings,other liabilities,total liabilities,Revenue,total Assets,X1,X2,X3,X4,X5,Z Score,Risk Zone
Tata Steel,-25656.0,100920.0,23928.0,238123.0,92382.0,101965.0,296515.0,232140.0,296515.0,-0.08652513364,0.3403537764,0.08069743521,0.8030723572,0.7828946259,1.902921808,GREY
JSW Steel,33540.0,99748.0,23576.0,301708.0,99310.0,70295.0,269658.0,185470.0,269658.0,0.1243797699,0.3699055841,0.08742926225,1.118854252,0.6877971356,2.314061997,GREY
Hindalco Industries Ltd.,16637.0,136361.0,28088.0,216711.0,99165.0,108933.0,344681.0,274944.0,344681.0,0.04826781865,0.395615076,0.08148984133,0.6287291728,0.7976766924,2.054815484,GREY
Vedanta Ltd.,-22348.0,49261.0,19845.0,109706.0,32947.0,149712.0,232311.0,78437.0,232311.0,-0.09619863028,0.212047643,0.08542428038,0.4722376469,0.3376379078,1.083971327,DISTRESS
NMDC Ltd.,17305.0,33183.0,10271.0,75539.0,6407.0,7851.0,48320.0,32071.0,48320.0,0.3581332781,0.6867342715,0.2125620861,1.563307119,0.6637210265,3.693684375,SAFE
Jindal Steel Ltd.,4600.0,50797.0,6239.0,107680.0,22610.0,24253.0,97762.0,53225.0,97762.0,0.0470530472,0.519598617,0.06381825249,1.101450461,0.5444344428,2.199262239,GREY
Steel Authority of India Ltd.,-7705.0,56225.0,8593.0,70198.0,31928.0,43613.0,135896.0,110811.0,135896.0,-0.05669776888,0.4137355036,0.06323217755,0.5165567787,0.8154103138,1.844387539,GREY
National Aluminium Co. Ltd.,8396.0,20685.0,7848.0,63731.0,60.0,4881.0,26544.0,17843.0,26544.0,0.316305003,0.7792721519,0.2956600362,2.400956902,0.6722046414,4.558331713,SAFE
Hindustan Zinc Ltd.,-8002.0,21630.0,23421.0,227407.0,8726.0,10972.0,42173.0,40658.0,42173.0,-0.1897422522,0.5128873924,0.5553553221,5.392241482,0.9640765419,6.521481564,SAFE
MOIL Ltd.,937.0,2506.0,338.0,5746.0,0.0,496.0,3206.0,1473.0,3206.0,0.2922645041,0.7816593886,0.1054273238,1.792264504,0.4594510293,3.327300998,SAFE
Reliance Industries Ltd.,-44436.0,890498.0,145008.0,1763966.0,402962.0,870554.0,2177546.0,1055780.0,2177546.0,-0.02040645754,0.4089456664,0.06659239346,0.8100706024,0.4848485405,1.738197136,DISTRESS
Oil & Natural Gas Corpn. Ltd.,-27064.0,365478.0,81088.0,300228.0,174316.0,245821.0,791905.0,662247.0,791905.0,-0.03417581654,0.46151748,0.1023961207,0.379121233,0.8362707648,2.005927924,GREY
Oil India Ltd.,1552.0,56372.0,10786.0,68643.0,37478.0,28372.0,123848.0,33946.0,123848.0,0.01253149021,0.4551708546,0.08709062722,0.5542519863,0.2740940508,1.546047203,DISTRESS
Bharat Petroleum Corporation Ltd.,-21734.0,95898.0,23985.0,133583.0,54424.0,94021.0,248616.0,455228.0,248616.0,-0.08741995688,0.3857273868,0.09647408051,0.5373065289,1.831048686,2.905080413,GREY
Hindustan Petroleum Corporation Ltd.,-31613.0,63428.0,3318.0,84740.0,55964.0,81519.0,203039.0,441771.0,203039.0,-0.1556991514,0.3123931855,0.01634168805,0.4173582415,2.175793813,2.728472013,GREY
GAIL (India) Ltd.,-3520.0,82474.0,10689.0,114505.0,24831.0,26656.0,140537.0,141598.0,140537.0,-0.02504678483,0.5868490149,0.07605826224,0.8147676413,1.007549613,2.537927393,GREY
Petronet LNG Ltd.,10370.0,20785.0,5361.0,41490.0,2341.0,2814.0,27440.0,43495.0,27440.0,0.3779154519,0.7574708455,0.1953717201,1.512026239,1.585094752,4.649409803,SAFE
Mahanagr Gas Ltd.,-124.0,6335.0,1161.0,11201.0,219.0,2312.0,8965.0,8240.0,8965.0,-0.01383156721,0.7066369214,0.1295036252,1.249414389,0.9191299498,3.067915226,SAFE
Adani Total Gas Ltd.,-1060.0,4714.0,963.0,80033.0,2252.0,2368.0,9444.0,5864.0,9444.0,-0.112240576,0.4991529013,0.1019695044,8.474481152,0.6209233376,6.605615841,SAFE
Indian Oil Corporation Ltd.,-56031.0,205746.0,65780.0,199321.0,131822.0,177615.0,528955.0,784415.0,528955.0,-0.1059277254,0.3889669254,0.1243584048,0.3768203344,1.482952236,2.535384645,GREY
