Company,FY,Revenue,Profit
Tata Steel,2024,229171,-4910
Tata Steel,2025,218543,3174
Tata Steel,2026,232140,10886
JSW Steel,2024,175006,8973
JSW Steel,2025,168824,3491
JSW Steel,2026,185470,25508
Hindalco Industries Ltd.,2024,215962,10155
Hindalco Industries Ltd.,2025,238496,15002
Hindalco Industries Ltd.,2026,274944,13391
Vedanta Ltd.,2024,143727,7539
Vedanta Ltd.,2025,62717,20535
Vedanta Ltd.,2026,78437,25096
NMDC Ltd.,2024,21308,5567
NMDC Ltd.,2025,23906,6520
NMDC Ltd.,2026,32071,7450
Jindal Steel Ltd.,2024,50354,5943
Jindal Steel Ltd.,2025,50129,2846
Jindal Steel Ltd.,2026,53225,3361
Steel Authority of India Ltd.,2024,105378,3067
Steel Authority of India Ltd.,2025,102479,2372
Steel Authority of India Ltd.,2026,110811,3373
National Aluminium Co. Ltd.,2024,13149,1988
National Aluminium Co. Ltd.,2025,16788,5268
National Aluminium Co. Ltd.,2026,17843,5797
Hindustan Zinc Ltd.,2024,28934,7787
Hindustan Zinc Ltd.,2025,33969,10279
Hindustan Zinc Ltd.,2026,40658,13712
MOIL Ltd.,2024,1447,293
MOIL Ltd.,2025,1582,382
MOIL Ltd.,2026,1473,267
Reliance Industries Ltd.,2024,899041,79020
Reliance Industries Ltd.,2025,962820,81309
Reliance Industries Ltd.,2026,1055780,95754
Oil & Natural Gas Corpn. Ltd.,2024,601581,55273
Oil & Natural Gas Corpn. Ltd.,2025,612065,38329
Oil & Natural Gas Corpn. Ltd.,2026,662247,49793
Oil India Ltd.,2024,31749,6980
Oil India Ltd.,2025,31703,7040
Oil India Ltd.,2026,33946,7551
Bharat Petroleum Corporation Ltd.,2024,448083,26859
Bharat Petroleum Corporation Ltd.,2025,440272,13337
Bharat Petroleum Corporation Ltd.,2026,455228,25843
Hindustan Petroleum Corporation Ltd.,2024,433857,16015
Hindustan Petroleum Corporation Ltd.,2025,434106,6736
Hindustan Petroleum Corporation Ltd.,2026,441771,18047
GAIL (India) Ltd.,2024,133228,9903
GAIL (India) Ltd.,2025,141903,12463
GAIL (India) Ltd.,2026,141598,7582
Petronet LNG Ltd.,2024,52729,3652
Petronet LNG Ltd.,2025,50982,3973
Petronet LNG Ltd.,2026,43495,3913
Mahanagr Gas Ltd.,2024,6245,1289
Mahanagr Gas Ltd.,2025,6924,1045
Mahanagr Gas Ltd.,2026,8240,847
Adani Total Gas Ltd.,2024,4472,653
Adani Total Gas Ltd.,2025,4986,648
Adani Total Gas Ltd.,2026,5864,637
Indian Oil Corporation Ltd.,2024,776352,43161
Indian Oil Corporation Ltd.,2025,758106,13789
Indian Oil Corporation Ltd.,2026,784415,43677
