Company,Promoter %,FII %,DII %,Public %
Tata Steel,33.19,18.58,26.67,21.36
JSW Steel,45.31,25.38,11.16,17.47
Hindalco Industries Ltd.,34.65,29.96,21.35,13.21
Vedanta Ltd.,56.38,13.93,13.43,16.05
NMDC Ltd.,60.79,13.6,13.76,11.84
Jindal Steel Ltd.,62.71,9.19,19.14,8.73
Steel Authority of India Ltd.,65.0,5.01,18.4,11.58
National Aluminium Co. Ltd.,51.28,22.27,10.75,15.69
Hindustan Zinc Ltd.,60.71,2.39,4.84,4.12
MOIL Ltd.,64.88,4.16,7.63,23.52
Reliance Industries Ltd.,50.0,18.67,20.46,10.7
Oil & Natural Gas Corpn. Ltd.,58.89,7.97,19.3,3.54
Oil India Ltd.,56.66,7.67,19.43,6.36
Bharat Petroleum Corporation Ltd.,52.98,19.57,18.52,8.48
Hindustan Petroleum Corporation Ltd.,54.9,17.26,19.58,8.24
GAIL (India) Ltd.,51.88,13.04,20.5,6.98
Petronet LNG Ltd.,50.0,27.13,12.94,9.95
Mahanagr Gas Ltd.,32.5,24.13,21.01,12.34
Adani Total Gas Ltd.,74.8,12.75,6.26,6.18
Indian Oil Corporation Ltd.,51.5,9.84,9.1,9.96
